Entreprise,Secteur,Taille,TypeAttaque,Date,Vecteur,ImpactAriary,IndispoHeures,DonneesCompromises,CampagneSécurité
Blair PLC,Industrie,1435,ransomware,2023-01-02 02:03:03.450548,RDP exposé,404847.37,31,Non,MFA
Abbott-Munoz,Technologie,259,exploitation de vulnérabilité,2023-01-03 00:46:49.882258,API vulnérable,812571.29,26,Oui,PatchUrgent
Dudley Group,Finance,1566,ddos,2023-01-03 10:03:25.019292,site compromis,964234.21,30,Non,PatchUrgent
"Watts, Robinson and Nguyen",Commerce,526,fuite de données,2023-01-04 01:26:52.778452,email,304431.8,0,Non,AuditSécurité
Morales-Jones,Éducation,1282,exploitation de vulnérabilité,2023-01-07 18:44:35.044478,clé USB,606758.61,9,Oui,AuditSécurité
Doyle Ltd,Transport,278,exploitation de vulnérabilité,2023-01-08 15:16:23.380011,clé USB,233927.76,34,Non,
Blair PLC,Énergie,1435,exploitation de vulnérabilité,2023-01-09 18:49:38.712735,RDP exposé,303008.69,9,Oui,AuditSécurité
"Henderson, Ramirez and Lewis",Transport,335,account takeover,2023-01-12 13:35:26.193100,email,635033.87,29,Oui,PatchUrgent
Blair PLC,Santé,1435,intrusion,2023-01-12 22:20:36.465193,email,562762.59,15,Oui,FormationPhishing
Blake and Sons,Éducation,507,exploitation de vulnérabilité,2023-01-13 21:28:49.727265,port ouvert,186347.73,12,Oui,FormationPhishing
Davis and Sons,Transport,1568,fuite de données,2023-01-14 21:59:59.309554,API vulnérable,42681.77,24,Non,MFA
"Snyder, Campos and Callahan",Santé,1486,exploitation de vulnérabilité,2023-01-15 11:20:48.609665,port ouvert,509182.87,2,Non,FormationPhishing
"Rodriguez, Figueroa and Sanchez",Éducation,1359,ddos,2023-01-15 21:09:26.935288,API vulnérable,155818.52,19,Oui,MFA
"Henderson, Ramirez and Lewis",Énergie,335,phishing,2023-01-17 06:14:58.004061,email,41593.23,42,Non,FormationPhishing
Morales-Jones,Finance,1282,exploitation de vulnérabilité,2023-01-19 10:02:50.081598,port ouvert,510904.98,5,Oui,MFA
Garcia-James,Transport,1558,ransomware,2023-01-20 13:30:40.194252,téléchargement,167764.97,38,Non,MFA
Arnold Ltd,Éducation,1877,intrusion,2023-01-20 20:02:50.540927,site compromis,331151.86,29,Oui,PatchUrgent
Wilkerson-Day,Finance,1199,malware,2023-01-21 16:32:13.123528,RDP exposé,659614.47,15,Oui,FormationPhishing
"Adams, Zuniga and Wong",Énergie,111,phishing,2023-01-25 09:22:27.280318,téléchargement,152505.93,23,Non,AuditSécurité
"Henderson, Ramirez and Lewis",Industrie,335,malware,2023-01-27 00:39:19.118979,email,181629.58,2,Non,FormationPhishing
Williams and Sons,Transport,228,ransomware,2023-01-28 05:22:23.596823,clé USB,73122.22,28,Non,AuditSécurité
"Flowers, Martin and Kelly",Commerce,115,account takeover,2023-01-28 07:08:02.934117,API vulnérable,299192.72,27,Oui,PatchUrgent
"Adams, Zuniga and Wong",Finance,111,malware,2023-01-30 06:16:15.364806,site compromis,111526.39,14,Non,FormationPhishing
"Flowers, Martin and Kelly",Santé,115,malware,2023-01-30 09:00:04.584233,port ouvert,750479.82,47,Oui,FormationPhishing
Abbott-Munoz,Transport,259,fuite de données,2023-01-30 14:56:17.039961,RDP exposé,418475.36,8,Non,
"Henderson, Ramirez and Lewis",Santé,335,account takeover,2023-01-31 18:42:18.745132,téléchargement,596496.87,29,Non,FormationPhishing
