Utilisateur,Role,Departement,DateHeure,IPSource,Localisation,Resultat
glee,Employé,Logistique,2024-01-01 01:06:07.586567,24.30.223.118,France,échec
maria95,Support IT,RH,2024-01-01 01:17:19.947067,219.107.184.221,Italie,succès
jasminebrown,Stagiaire,Comptabilité,2024-01-01 01:40:07.182182,74.189.78.238,Italie,succès
stephen10,Admin système,Production,2024-01-01 01:42:38.222740,208.53.96.187,USA,succès
josephbrennan,Employé,IT,2024-01-01 02:01:09.067829,159.24.188.187,France,succès
spenceamanda,Admin système,Ventes,2024-01-01 02:42:49.498607,8.16.177.150,USA,succès
steven17,Support IT,Production,2024-01-01 02:44:10.208523,207.93.151.90,Japon,succès
richard04,Manager,Comptabilité,2024-01-01 03:35:19.450106,121.97.240.64,France,succès
janetwilliams,Employé,Comptabilité,2024-01-01 04:54:19.128533,185.248.171.201,Allemagne,succès
lisa02,Manager,Ventes,2024-01-01 06:18:45.627530,70.212.19.80,France,échec
novaksara,Support IT,RH,2024-01-01 06:21:08.183154,214.47.250.247,Italie,échec
dudleynicholas,Stagiaire,Comptabilité,2024-01-01 06:45:52.095429,80.159.50.65,Allemagne,succès
amydavenport,Développeur,Marketing,2024-01-01 06:48:50.057056,31.129.194.73,Allemagne,succès
hhoffman,Manager,Marketing,2024-01-01 07:11:35.443240,124.211.178.155,Espagne,succès
gibsonolivia,Stagiaire,Marketing,2024-01-01 07:35:02.670015,164.220.111.106,Canada,succès
millertodd,Manager,IT,2024-01-01 07:48:03.015236,198.219.77.22,France,succès
gibsonolivia,Stagiaire,Marketing,2024-01-01 09:28:53.262611,212.44.248.107,Canada,succès
dking,Stagiaire,Marketing,2024-01-01 10:40:11.318488,148.94.32.159,Unknown,échec
perezrebecca,Employé,Marketing,2024-01-01 10:58:20.546078,197.208.196.234,Canada,succès
jrivas,Support IT,RH,2024-01-01 11:41:54.431823,193.183.238.233,Allemagne,succès
kimberly63,Admin système,Production,2024-01-01 13:34:09.492923,192.45.229.92,Brésil,succès
josephflores,Stagiaire,Marketing,2024-01-01 14:24:51.032786,93.83.12.52,Unknown,succès
perezantonio,Support IT,Marketing,2024-01-01 15:13:21.928420,150.8.58.147,USA,succès
michellejames,Développeur,Logistique,2024-01-01 18:11:53.551555,207.248.212.123,France,succès
hhoffman,Manager,Marketing,2024-01-01 19:45:22.068836,163.141.142.72,Unknown,succès
adrianzimmerman,Admin système,Ventes,2024-01-01 20:09:03.656201,115.15.2.246,Japon,succès
mikemoore,Admin système,Logistique,2024-01-01 20:16:23.528980,44.184.115.70,Japon,succès
vjohnson,Stagiaire,Production,2024-01-01 20:16:53.134714,217.215.32.143,Brésil,succès
ycarlson,Manager,IT,2024-01-01 20:25:45.367449,161.212.188.145,Japon,succès
cassandra07,Stagiaire,Comptabilité,2024-01-01 21:41:36.676848,2.79.71.64,Espagne,succès
pwilliams,Admin système,Marketing,2024-01-01 21:53:52.901711,29.94.241.43,Allemagne,succès
amydavenport,Développeur,Marketing,2024-01-01 22:24:22.616577,9.116.226.7,Brésil,succès
kimberly69,Stagiaire,RH,2024-01-01 22:51:26.069773,162.254.246.23,Italie,succès
psanchez,Développeur,Logistique,2024-01-01 23:37:12.393773,6.68.120.87,Japon,succès
stephen10,Admin système,Production,2024-01-01 23:38:26.265325,143.21.53.217,France,succès
bradley60,Manager,Logistique,2024-01-02 03:03:24.514977,213.26.195.37,Allemagne,échec
ibrandt,Développeur,Production,2024-01-02 03:22:45.911788,108.7.128.155,Italie,succès
yleon,Manager,Production,2024-01-02 04:57:16.160175,82.166.172.193,France,succès
williamsyvette,Admin système,RH,2024-01-02 05:34:38.992491,32.233.175.149,Italie,succès
josephanderson,Manager,Logistique,2024-01-02 07:26:29.252247,49.100.0.85,Japon,succès
vmerritt,Développeur,Comptabilité,2024-01-02 09:01:40.303036,115.77.62.59,Brésil,succès
mikemoore,Admin système,Logistique,2024-01-02 09:51:36.648779,209.230.130.181,Allemagne,succès
garrisonjeffrey,Manager,Production,2024-01-02 10:05:18.760324,180.144.101.121,Italie,succès
jennifercruz,Support IT,IT,2024-01-02 10:59:24.805118,177.33.129.212,Espagne,succès
wcole,Employé,Marketing,2024-01-02 11:03:50.681356,204.45.211.98,Allemagne,échec
sara74,Employé,RH,2024-01-02 11:47:06.840858,8.102.5.78,Espagne,succès
kimberly69,Stagiaire,RH,2024-01-02 12:03:51.796184,115.210.228.199,USA,échec
jason99,Admin système,Marketing,2024-01-02 12:15:27.264186,41.10.62.120,Unknown,succès
osbornejeffery,Développeur,Logistique,2024-01-02 12:56:15.951852,185.6.91.94,Canada,succès
dking,Stagiaire,Marketing,2024-01-02 13:00:56.172405,201.104.82.234,France,succès
adrianzimmerman,Admin système,Ventes,2024-01-02 13:21:18.343757,143.187.173.141,Brésil,succès
